lon,lat,shortdescription,equipmentno
-73.98777189072918,40.7497893999001,"('Street to mezzanine', 'Mezzanine to uptown N/Q/R/W platform', 'Mezzanine to downtown N/Q/R/W', 'Mezzanine to uptown B/D/F/M', 'Mezzanine to downtown B/D/F/M')","('EL213', 'EL212', 'EL211', 'EL210', 'EL209')"
-73.9879368338264,40.7496445600944,"('Street to mezzanine', 'Mezzanine to uptown N/Q/R/W platform', 'Mezzanine to downtown N/Q/R/W', 'Mezzanine to uptown B/D/F/M', 'Mezzanine to downtown B/D/F/M')","('EL213', 'EL212', 'EL211', 'EL210', 'EL209')"
-73.98869800128737,40.7454539997995,"('Street to downtown platform',)","('EL279X',)"
-73.98934400102907,40.7413026672,"('Street to downtown platform', 'Street to uptown platform')","('EL299', 'EL298')"
-73.98973500085859,40.7573079985515,"('Landing to mezzanine', 'Street to intermediate landing', 'Bus terminal to subway', 'Bus terminal to subway')","('EL290X', 'EL291X', 'EL288X', 'EL289X')"
-73.98995099881881,40.73467300099612,"('Mezzanine to downtown N/Q/R/W', 'Mezzanine to uptown N/Q/R/W', 'Mezzanine to L platform', 'Street to mezzanine')","('EL220', 'EL219', 'EL218', 'EL217')"
-73.98999799960687,40.69321899961108,"('Mezzanine to 2/3 and Manhattan-bound 4/5', 'Street to 2/3 & Manhattan-bound 4/5 ')","('EL318', 'EL317')"
-73.99015100090539,40.69240399999103,"('Mezzanine to 2/3 and Manhattan-bound 4/5', 'Street to 2/3 & Manhattan-bound 4/5 ')","('EL318', 'EL317')"
-73.99053886181645,40.7358722669981,"('Mezzanine to downtown N/Q/R/W', 'Mezzanine to uptown N/Q/R/W', 'Mezzanine to L platform', 'Street to mezzanine')","('EL220', 'EL219', 'EL218', 'EL217')"
-73.99066976901818,40.7347633121792,"('Mezzanine to downtown N/Q/R/W', 'Mezzanine to uptown N/Q/R/W', 'Mezzanine to L platform', 'Street to mezzanine')","('EL220', 'EL219', 'EL218', 'EL217')"
-73.99105699913983,40.7503730000394,"('Uptown C/E to mezzanine', 'Street to uptown C/E', 'Mezzanine to downtown C/E', 'Mezzanine to A platform', 'Penn Station concourse to 2/3', 'Mezzanine to uptown 1', 'Mezzanine to downtown 1', 'street to concourse', 'street to concourse')","('EL226', 'EL225', 'EL228', 'EL227', 'EL215', 'EL214', 'EL216', 'EL618', 'EL34X')"
-73.99276500471389,40.742954317826,"('Street to downtown platform', 'Street to uptown platform')","('EL299', 'EL298')"
-73.99287200067424,40.6654136671297,"('Street to Brooklyn-bound platform', 'Street to Manhattan-bound platform')","('EL383', 'EL382')"
-73.99336500134324,40.7472149991821,"('Street to downtown platform',)","('EL279X',)"
-73.99339099970578,40.75228700077589,"('Uptown C/E to mezzanine', 'Street to uptown C/E', 'Mezzanine to downtown C/E', 'Mezzanine to A platform', 'Penn Station concourse to 2/3', 'Mezzanine to uptown 1', 'Mezzanine to downtown 1', 'street to concourse', 'street to concourse')","('EL226', 'EL225', 'EL228', 'EL227', 'EL215', 'EL214', 'EL216', 'EL618', 'EL34X')"
-73.9936762000529,40.60195046157231,"('Mezzanine to Coney Island-bound platform', 'Mezzanine to Manhattan-bound platform', 'Street to mezzanine')","('EL378', 'EL377', 'EL376')"
-73.99375299913589,40.7182669995499,"('street to platform', 'street to platform')","('EL786', 'EL785')"
-73.9946587805514,40.63626089096139,"('Street to downtown C', 'Downtown C to downtown E')","('EL207X', 'EL208X')"
-73.99465900006331,40.7259146668265,"('Uptown 6 to downtown B/D/F/M', 'Uptown 6 to uptown B/D/F/M', 'Downtown 6 to downtown B/D/F/M', 'Downtown 6 to uptown B/D/F/M', 'Street to downtown 6')","('EL332', 'EL331', 'EL330', 'EL329', 'EL328')"
-73.9956570016487,40.7440809998975,"('Street to downtown platform', 'Street to uptown platform')","('EL299', 'EL298')"
-73.99620899921355,40.7382279996951,"('Mezzanine to uptown A/C/E', 'Mezzanine to downtown A/C/E', 'Street to mezzanine')","('EL223', 'EL222', 'EL221')"
-73.99635300025969,40.6248416672588,"('Street to Mahhattan-bound N',)","('EL738',)"
-73.99685724994863,40.62622446292219,"('Mezzanine to Coney Island-bound D', 'Mezzanine to Manhattan-bound D', 'Street to D mezzanine & Coney Island-bound N')","('EL741', 'EL740', 'EL739')"
-73.99804100117201,40.7459059993999,"('Street to downtown platform', 'Street to uptown platform')","('EL299', 'EL298')"
-73.99982638545937,40.7181738769739,"('Street to downtown 6', 'Street to uptown 6')","('EL325', 'EL324')"
-74.00019299927328,40.718803001077,"('Street to downtown 6', 'Street to uptown 6')","('EL325', 'EL324')"
-74.00020100063497,40.73782599972811,"('Mezzanine to uptown A/C/E', 'Mezzanine to downtown A/C/E', 'Street to mezzanine')","('EL223', 'EL222', 'EL221')"
-74.00049500225435,40.7323379977432,"('Uptown A/C/E to mezzanine & uptown B/D/F/M', 'Downtown A/C/E to mezzanine & downtown B/D/F/M', 'Street to A/C/E & B/D/F/M service')","('EL335', 'EL334', 'EL333')"
-74.00105471306033,40.71881426358713,"('Street to downtown 6', 'Street to uptown 6')","('EL325', 'EL324')"
-74.00168999937027,40.74089300019329,"('Mezzanine to uptown A/C/E', 'Mezzanine to downtown A/C/E', 'Street to mezzanine')","('EL223', 'EL222', 'EL221')"
-74.0018260000577,40.7194650010589,"('Street to downtown 6', 'Street to uptown 6')","('EL325', 'EL324')"
-74.00219709442206,40.7554463596159,"('Mezzanine to platform', 'Street to upper mezzanine', 'Upper to lower mezzanine', 'Upper to lower mezzanine')","('EL600', 'EL603', 'EL602', 'EL601')"
-74.00257800104762,40.7397766663819,"('Mezzanine to L platform', 'Street to Manhattan-bound platform', 'street to Coney Island-bound platform')","('EL224', 'EL753', 'EL752')"
-74.00340673031336,40.7132337896267,"('Street to mezzanine', 'Mezzanine to downtown platform', 'Mezzanine to uptown platform', 'Mezzanine to Broad St-bound J/Z', 'Mezzanine to Brooklyn-bound J/Z')","('EL336', 'EL338', 'EL337', 'EL743', 'EL742')"
-74.0041310005885,40.71306499943313,"('Street to mezzanine', 'Mezzanine to uptown 4/5/6', 'Mezzanine to downtown 4/5/6')","('EL314', 'EL316', 'EL315')"
-74.0062770001748,40.7228539977878,"('Street to downtown 6', 'Street to uptown 6')","('EL325', 'EL324')"
